Coreclockgenes	NumberofTotalInteractions	Circadiannoncoreclock	NumberofTotalInteractions
Arntl	 3	0610030E20Rik	 13
Cirbp	40	1110049F12Rik	  5
Clock	 1	1110059E24Rik	 16
Cry1	 3	1110067D22Rik	  5
Cry2	15	1190005F20Rik	 55
Dbp	40	1300001I01Rik	 76
Elovl3	 3	1300002K09Rik	 21
Nfil3	51	1300018J18Rik	 46
Npas2	15	1500001M20Rik	  2
Nr1d1	15	1500012F01Rik	  7
Nr1d2	 3	1600002H07Rik	 75
Per1	23	1600014C10Rik	  2
Per2	21	1700001L05Rik	 26
Per3	 8	1810009A15Rik	 33
Rorc	25	1810055G02Rik	 29
Tef	22	1810063B05Rik	 19
Usp2	 2	2010107H07Rik	  7
NA	NA	2010111I01Rik	 44
NA	NA	2210408I21Rik	  2
NA	NA	2310003H01Rik	 17
NA	NA	2310030N02Rik	 55
NA	NA	2410006H16Rik	 11
NA	NA	2610301G19Rik	113
NA	NA	3010026O09Rik	 13
NA	NA	4632411B12Rik	 21
NA	NA	4833422C13Rik	  2
NA	NA	4930473A06Rik	  5
NA	NA	4930523C07Rik	 11
NA	NA	4930528F23Rik	  4
NA	NA	4930581F22Rik	 52
NA	NA	4933426M11Rik	 25
NA	NA	6430573F11Rik	  8
NA	NA	9130011J15Rik	 30
NA	NA	9430023L20Rik	  4
NA	NA	A930033H14Rik	 19
NA	NA	AA986860	 12
NA	NA	Abca2	 57
NA	NA	Abca3	 37
NA	NA	Abca6	  4
NA	NA	Abcb11	 38
NA	NA	Abcb1a	 14
NA	NA	Abcb4	 27
NA	NA	Abcc2	  9
NA	NA	Abcf2	 18
NA	NA	Abcg8	  3
NA	NA	Abhd14a	 44
NA	NA	Abhd8	 17
NA	NA	Abtb1	 54
NA	NA	Abtb2	 68
NA	NA	AC112790.1	  6
NA	NA	Acaca	 32
NA	NA	Acbd5	 39
NA	NA	Accs	  2
NA	NA	Acly	  6
NA	NA	Aco1	 62
NA	NA	Aco2	 11
NA	NA	Acot7	 20
NA	NA	Acox2	 81
NA	NA	Acsm5	 31
NA	NA	Actn1	 15
NA	NA	Actr10	 12
NA	NA	Actr1a	  5
NA	NA	Actr6	  4
NA	NA	Actr8	 26
NA	NA	Acy1	 22
NA	NA	Adamts6	 50
NA	NA	Adarb1	 14
NA	NA	Adck3	 40
NA	NA	Adck5	  6
NA	NA	Adh1	 27
NA	NA	Ado	 27
NA	NA	Afg3l2	  9
NA	NA	Agl	 12
NA	NA	Agpat1	  5
NA	NA	Agpat2	  7
NA	NA	Agtr1a	 11
NA	NA	Ahcy	 26
NA	NA	Ahsa1	 38
NA	NA	AI316807	 84
NA	NA	Aifm2	  4
NA	NA	Aimp1	  1
NA	NA	Aimp2	  6
NA	NA	Ak2	 19
NA	NA	Akap17b	  3
NA	NA	Akr1c12	 69
NA	NA	Akr1c14	 15
NA	NA	Akr1c19	 10
NA	NA	Aldob	 14
NA	NA	Alg12	137
NA	NA	Alpl	  4
NA	NA	Amacr	 29
NA	NA	Amd-ps3	  4
NA	NA	Amdhd1	  7
NA	NA	Amt	 10
NA	NA	Angel2	  9
NA	NA	Ankrd27	  5
