Dynamicinters_below150kb	Dynamicinters_above150kb	Staticinters_below150kb	Staticinters_above150kb
115	33	430	574
110	27	426	488
135	54	399	513
97	6	540	347
115	8	404	490
87	19	369	400
69	12	283	432
76	35	299	432
102	22	403	448
122	19	355	359
74	16	342	426
107	21	388	391
136	30	406	417
136	24	521	291
56	10	311	337
81	13	469	572
96	18	295	586
65	16	316	545
91	33	294	454
77	18	287	420
111	10	509	364
147	9	467	320
103	5	392	272
88	20	489	549
136	12	364	433
93	33	319	461
73	20	279	276
100	3	318	316
84	31	336	299
127	27	501	392
94	24	301	544
85	33	431	392
133	13	439	314
70	23	323	398
82	28	346	350
144	17	400	444
122	15	468	492
67	17	298	467
75	18	279	388
65	8	290	280
83	32	284	423
134	35	433	434
160	35	534	335
58	42	320	511
90	24	340	374
125	23	489	426
98	14	395	358
127	17	592	307
117	42	392	471
88	22	340	310
120	23	310	285
85	14	327	355
131	17	404	293
81	32	422	480
123	9	454	452
93	12	364	327
164	13	533	554
115	37	419	490
93	28	399	634
119	10	435	469
120	19	415	370
109	19	491	354
111	15	377	421
130	41	464	541
77	36	373	331
154	13	514	392
90	32	327	535
91	24	379	468
88	9	386	309
82	13	422	354
112	20	422	262
138	15	532	348
89	15	404	477
112	23	459	318
130	19	518	351
108	44	423	474
95	23	395	453
105	25	372	489
88	8	341	283
116	2	382	344
112	16	383	431
103	5	482	384
70	27	354	375
154	7	498	397
93	31	424	653
85	16	250	410
96	21	407	482
108	36	364	469
112	15	558	276
86	11	411	440
125	16	385	246
109	24	394	346
94	18	356	576
88	31	322	372
110	16	430	262
121	13	428	300
95	35	402	348
106	37	384	523
61	20	295	374
129	5	406	431
