Chromosome	Start	End	Feature	ID	Description
1	39249557	39251208	Npas2	ENSMUSG00000026077	neuronal PAS domain protein 2 [Source:MGI Symbol;Acc:MGI:109232]
1	93310517	93324958	Per2	ENSMUSG00000055866	period homolog 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:1195265]
2	92273704	92274725	Cry2	ENSMUSG00000068742	cryptochrome 2 (photolyase-like) [Source:MGI Symbol;Acc:MGI:1270859]
3	51023726	51030914	Ccrn4l	ENSMUSG00000023087	CCR4 carbon catabolite repression 4-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:109382]
3	94162820	94180089	Rorc	ENSMUSG00000028150	RAR-related orphan receptor gamma [Source:MGI Symbol;Acc:MGI:104856]
4	150415705	150427274	Per3	ENSMUSG00000028957	period homolog 3 (Drosophila) [Source:MGI Symbol;Acc:MGI:1277134]
5	76729825	76739603	Clock	ENSMUSG00000029238	circadian locomotor output cycles kaput [Source:MGI Symbol;Acc:MGI:99698]
6	146743721	146752098	Arntl2	ENSMUSG00000040187	aryl hydrocarbon receptor nuclear translocator-like 2 [Source:MGI Symbol;Acc:MGI:2684845]
7	52956740	52963554	Dbp	ENSMUSG00000059824	D site albumin promoter binding protein [Source:MGI Symbol;Acc:MGI:94866]
7	120349173	120358837	Arntl	ENSMUSG00000055116	aryl hydrocarbon receptor nuclear translocator-like [Source:MGI Symbol;Acc:MGI:1096381]
9	43867342	43875989	Usp2	ENSMUSG00000032010	ubiquitin specific peptidase 2 [Source:MGI Symbol;Acc:MGI:1858178]
9	68499035	68502346	Rora	ENSMUSG00000032238	RAR-related orphan receptor alpha [Source:MGI Symbol;Acc:MGI:104661]
10	79628324	79630600	Cirbp	ENSMUSG00000045193	cold inducible RNA binding protein [Source:MGI Symbol;Acc:MGI:893588]
10	84645761	84656623	Cry1	ENSMUSG00000020038	cryptochrome 1 (photolyase-like) [Source:MGI Symbol;Acc:MGI:1270841]
11	68908170	68909614	Per1	ENSMUSG00000020893	period homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1098283]
11	120850974	120861153	Csnk1d	ENSMUSG00000025162	"casein kinase 1, delta [Source:MGI Symbol;Acc:MGI:1355272]"
13	53070732	53081378	Nfil3	ENSMUSG00000056749	"nuclear factor, interleukin 3, regulated [Source:MGI Symbol;Acc:MGI:109495]"
14	103498721	103499734	Fbxl3	ENSMUSG00000022124	F-box and leucine-rich repeat protein 3 [Source:MGI Symbol;Acc:MGI:1354702]
15	79267345	79275729	Csnk1e	ENSMUSG00000022433	"casein kinase 1, epsilon [Source:MGI Symbol;Acc:MGI:1351660]"
15	81631087	81654980	Tef	ENSMUSG00000022389	thyrotroph embryonic factor [Source:MGI Symbol;Acc:MGI:98663]
18	61714593	61716773	Csnk1a1	ENSMUSG00000024576	"casein kinase 1, alpha 1 [Source:MGI Symbol;Acc:MGI:1934950]"
19	19184028	19185924	Rorb	ENSMUSG00000036192	RAR-related orphan receptor beta [Source:MGI Symbol;Acc:MGI:1343464]
19	46196549	46207215	Elovl3	ENSMUSG00000038754	"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3 [Source:MGI Symbol;Acc:MGI:1195976]"
11	98633682	98636939	Nr1d1	ENSMUSG00000020889	"nuclear receptor subfamily 1, group D, member 1 [Source:MGI Symbol;Acc:MGI:2444210]"
14	19067213	19072082	Nr1d2	ENSMUSG00000021775	"nuclear receptor subfamily 1, group D, member 2 [Source:MGI Symbol;Acc:MGI:2449205]"
