ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Cry2_CT0/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT4/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT8/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT12/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT16/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT20/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_KO/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry_Input/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
1	chr11	98636431	98637110	98636760	72	promoter-TSS (uc007lhh.1)	promoter-TSS (NM_145434)	-214	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	48.43	30.82	26.42	68.68	134.73	97.74	11.45	23.78	1-Cry2_n3R17	1	burg	1	23.4823529412	44.6541201322	17.3833575947	67.8033333333	0.7739734805	0.7237453651	0.5658463851	0.0012408443	0.001715897	0.0113734686
2	chr11	68908521	68908920	68908645	81	Intergenic	CpG	-4940	uc007jph.2	Per1	period circadian protein homolog 1	31.7	22.89	39.63	74.85	118	80.13	8.81	18.49	2-Cry2_n3R17	0	mle	1	23.7619047619	38.0523213834	15.9888220573	61.2	0.7850397924	0.7372708573	0.5408668849	0.0009899456	0.0015922234	0.0105537239
3	chr4	124370771	124371231	124371045	80	promoter-TSS (uc008uqu.1)	promoter-TSS (NM_026031)	-203	uc008uqu.1	Utp11l	probable U3 small nucleolar RNA-associated	18.49	8.81	15.85	77.49	95.1	58.12	3.52	14.97	3-Cry2_n3R17	0	burg	1	22.9425287356	39.9924678165	15.8510300625	45.6433333333	0.8057546641	0.762589034	0.7265007389	0.0006274479	0.0014876685	0.0098607032
4	chr2	167828961	167829480	167829195	64	intron (uc008oal.1, intron 2 of 21)	intron (NM_001080708, intron 2 of 21)	-6809	uc008oan.1	AK027991	Mus musculus 18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110062I07 product:unclassifiable, full insert sequence.	18.49	16.73	13.21	88.94	81.01	51.95	5.28	6.16	4-Cry2_n3R17	0	burg	1	23.7619047619	35.0881336678	15.0700880802	45.055	0.7133149621	0.6496071759	0.6893774765	0.0036167844	0.0027311319	0.0181027435
5	chr11	68908221	68908511	68908425	66	Intergenic	Intergenic	-5294	uc007jph.2	Per1	period circadian protein homolog 1	28.18	13.21	27.3	49.31	80.13	54.6	9.69	17.61	5-Cry2_n3R17	0	mle	1	23.6213017751	25.8187366452	16.3571533594	42.1216666667	0.7970522767	0.7519527827	0.5221122004	0.0007642383	0.0015189668	0.0100681577
6	chr7	52959961	52960611	52960295	44	promoter-TSS (uc009gws.2)	promoter-TSS (NM_016974)	-331	uc009gws.2	Dbp	D site-binding protein	26.42	10.57	23.78	51.95	89.82	47.55	8.81	18.49	6-Cry2_n3R17	0	burg	1	22.9425287356	30.6285697962	16.2308411455	41.6816666667	0.7637756109	0.7112813022	0.6177872341	0.0015134264	0.0018378967	0.0121821186
7	chr12	113334341	113335050	113334705	50	Intergenic	L1M5|LINE|L1	-10199	uc007pek.1	Aspg	60 kDa lysophospholipase	16.73	14.09	22.89	53.71	85.41	45.79	5.28	20.25	7-Cry2_n3R17	0	burg	1	23.3450292398	29.1940197575	15.673744395	39.77	0.7602965161	0.7070290752	0.631859198	0.0016163468	0.0018920804	0.0125412637
8	chr11	118151371	118151751	118151505	80	promoter-TSS (uc011yim.1)	promoter-TSS (NM_001033528)	-3	uc011yim.1	Usp36	ubiquitin specific peptidase 36	16.73	4.4	10.57	66.04	93.34	44.03	5.28	2.64	8-Cry2_n3R17	0	mle	1	22.9425287356	38.8628112916	15.870088282	39.185	0.7861346281	0.7386089899	0.8210446529	0.000967458	0.0015918488	0.010551241
9	chr2	118336141	118336570	118336375	61	Intergenic	Intergenic	-30923	uc008lsa.1	Srp14	signal recognition particle 14 kDa protein	17.61	4.4	9.69	59	91.58	47.55	1.76	6.16	9-Cry2_n3R17	0	burg	1	22.4269662921	37.5022718241	16.3362626422	38.305	0.7825200258	0.7341911427	0.8080738391	0.001043246	0.0016089401	0.0106645268
10	chr4	147829801	147830280	147829945	70	intron (uc008vur.2, intron 5 of 57)	intron (NM_020009, intron 5 of 57)	7349	uc008vur.2	Mtor	serine/threonine-protein kinase mTOR	27.3	7.04	11.45	53.71	80.13	48.43	7.93	14.97	10-Cry2_n3R17	0	burg	1	22.3016759777	31.5355813559	16.7754658029	38.01	0.8037510875	0.7601402181	0.6714724468	0.0006571018	0.0014876685	0.0098607032
11	chr7	52075321	52075780	52075635	68	intron (uc009gqw.2, intron 1 of 1)	intron (NM_001171024, intron 1 of 8)	3810	uc009gqw.2	Nup62	nuclear pore glycoprotein p62	22.01	5.28	15.85	45.79	88.06	40.51	5.28	14.97	11-Cry2_n3R17	0	burg	1	23.0751445087	31.7038059341	16.2856957528	36.25	0.7398453436	0.6820331977	0.7446158746	0.0023363732	0.0021748228	0.0144153634
12	chr9	119841391	119841901	119841745	50	intron (uc009sbq.1, intron 3 of 8)	intron (NM_028976, intron 3 of 8)	5030	uc009sbq.1	Gorasp1	Golgi reassembly-stacking protein 1	16.73	9.69	12.33	53.71	71.33	38.74	7.04	13.21	12-Cry2_n3R17	0	mle	1	22.5536723164	27.8026836258	16.0155512134	33.755	0.7828241784	0.7345628847	0.6801921664	0.0010366965	0.0016037038	0.010629819
