ID	Chr	Start	End	Summit	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Bmal1_CT0/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT4/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT8/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT12/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT16/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT20/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_KO/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_Input/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
1	chr7	52960041	52960760	52960385	65	promoter-TSS (uc009gws.2)	promoter-TSS (NM_016974)	-217	uc009gws.2	Dbp	D site-binding protein	160.96	189.29	229.21	149.37	48.93	48.93	1.29	2.58	1-Bmal1_n3R1	1	default	1	24	80.3601108691	6.4866256414	137.781666667	0.823118201	0.7838111345	0.4911182432	0.0004116936	4.26331051313E-005	0.00302086
2	chr11	68908211	68908501	68908385	105	Intergenic	Intergenic	-5304	uc007jph.2	Per1	period circadian protein homolog 1	172.55	162.25	162.25	113.32	60.52	43.78	1.29	1.29	2-Bmal1_n3R1	1	burg	1	27.5310344828	51.5653061771	2.7334511987	119.111666667	0.7049623582	0.6393984378	0.4297152713	0.0041157447	0.0001177529	0.008343635
3	chr11	98644571	98645021	98644775	92	Intergenic	Intergenic	-8240	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	118.47	193.16	185.43	110.74	36.06	19.32	0	3.86	3-Bmal1_n3R1	1	default	1	24	80.9235005963	6.2934054238	110.53	0.8703872815	0.8415844552	0.5997429787	0.0001016048	3.54141262751E-005	0.0025093438
4	chr3	95686051	95686501	95686215	60	promoter-TSS (uc008qlm.1)	promoter-TSS (NM_001033302)	-125	uc008qlm.1	Gm129	hypothetical protein LOC229599	117.18	144.22	171.26	100.44	42.49	20.6	3.86	2.58	4-Bmal1_n3R1	0	mle	1	24.490797546	62.8899987339	6.2399700423	99.365	0.8306995659	0.7930772473	0.5347158567	0.0003380347	4.18974171287E-005	0.0029687313
5	chr7	52962811	52963430	52963115	72	intron (uc009gws.2, intron 2 of 3)	intron (NM_016974, intron 2 of 3)	2503	uc009gws.2	Dbp	D site-binding protein	101.73	141.65	145.51	99.15	34.77	21.89	1.29	0	5-Bmal1_n3R1	1	default	1	24	57.7211707994	6.4835794698	90.7833333333	0.8614045724	0.8306055884	0.5255096086	0.0001373631	0.000035723	0.0025312284
6	chr5	149806621	149807270	149806905	63	promoter-TSS (uc009aoz.1)	Intergenic	-154	uc009aoz.1	AK036974	Mus musculus 13 days embryo forelimb cDNA, RIKEN full-length enriched library, clone:5930430L01 product:unclassifiable, full insert sequence.	92.71	122.33	131.35	95.29	32.19	16.74	0	1.29	6-Bmal1_n3R1	0	mle	1	24.0481927711	51.7218810134	6.6961200966	81.7683333333	0.8499216029	0.816570848	0.525848487	0.0001965313	3.73709004257E-005	0.0026479952
7	chr11	98636531	98636831	98636680	63	promoter-TSS (uc007lhh.1)	promoter-TSS (NM_145434)	-125	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	118.47	115.89	115.89	79.84	32.19	23.18	2.58	1.29	7-Bmal1_n3R1	1	burg	1	26.972972973	41.1570664164	3.3793524069	80.91	0.7230373062	0.6614900409	0.4934870929	0.0030966758	0.000097937	0.0069395385
8	chr11	68908511	68908830	68908655	63	Intergenic	CpG	-4990	uc007jph.2	Per1	period circadian protein homolog 1	118.47	130.06	99.15	75.97	28.33	16.74	0	1.29	8-Bmal1_n3R1	1	burg	1	27.156462585	43.6033929704	2.7695737588	78.12	0.7238545089	0.6624888442	0.548579404	0.003055771	0.000097082	0.0068789519
9	chr2	92263791	92264240	92264075	66	intron (uc008kxy.2, intron 3 of 11)	intron (NM_001113333, intron 3 of 10)	10211	uc008kxy.2	Cry2	cryptochrome-2	81.13	119.76	118.47	77.26	20.6	12.88	1.29	2.58	9-Bmal1_n3R1	1	default	1	24	51.0725098856	6.3397324635	71.6833333333	0.8626105027	0.8320795033	0.5887828226	0.000132066	0.000035723	0.0025312284
10	chr11	98635071	98635331	98635185	64	intron (uc007lhh.1, intron 1 of 7)	CpG	1355	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	96.58	97.87	94	87.56	33.48	12.88	1.29	0	10-Bmal1_n3R1	1	burg	1	25.5897435897	35.2562913952	5.4145374738	70.395	0.6739334867	0.6014742615	0.4839299394	0.0064547273	0.0001602499	0.0113548499
