ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Clock_CT0/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT4/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT8/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT12/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT16/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT20/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_KO/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_Input/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
1	chr11	68908511	68908970	68908635	73	Intergenic	CpG	-4920	uc007jph.2	Per1	period circadian protein homolog 1	83.02	64.84	62.46	51.4	30.05	49.81	3.95	4.74	1-Clock_n3R15	0	mle	1	26.2631578947	15.7885581008	0.696133016	56.93	0.6107979066	0.5243085525	0.2848315423	0.0143148979	0.0055988673	0.0438914461
2	chr11	98636441	98637151	98636855	34	promoter-TSS (uc007lhh.1)	promoter-TSS (NM_145434)	-240	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	53.77	70.37	74.33	60.09	31.63	34	4.74	4.74	2-Clock_n3R15	0	mle	1	23.7619047619	20.4755072229	6.8760248264	54.0316666667	0.8748904207	0.847088292	0.3040028558	8.66577755028E-005	0.000416645	0.0032662231
3	chr7	52960041	52960800	52960335	41	promoter-TSS (uc009gws.2)	promoter-TSS (NM_016974)	-197	uc009gws.2	Dbp	D site-binding protein	54.56	43.49	64.05	69.58	22.93	38.74	3.95	3.95	3-Clock_n3R15	0	burg	1	23.9041916168	13.4217361484	8.0689235452	48.8916666667	0.3782559295	0.2400905805	0.3229815994	0.1178290658	0.0236601396	0.1854799708
4	chr11	68908231	68908501	68908385	52	Intergenic	Intergenic	-5294	uc007jph.2	Per1	period circadian protein homolog 1	56.93	33.21	56.14	42.7	26.88	37.95	2.37	1.58	4-Clock_n3R15	0	mle	1	25.7548387097	5.8502410937	3.2126759533	42.3016666667	0.1600905779	-0.0265559603	0.2634300316	0.4560852628	0.0664821022	0.5211760608
5	chr3	95685851	95686541	95686240	52	promoter-TSS (uc008qlm.1)	promoter-TSS (NM_001033302)	-45	uc008qlm.1	Gm129	hypothetical protein LOC229599	40.33	45.07	59.3	60.09	20.56	25.3	0.79	2.37	5-Clock_n3R15	0	burg	1	23.3450292398	17.5591890228	8.4479053933	41.775	0.722670499	0.661041721	0.3626408628	0.003115174	0.002260593	0.0177215661
6	chr3	95686011	95686550	95686390	11	promoter-TSS (uc008qlm.1)	promoter-TSS (NM_001033302)	-129	uc008qlm.1	Gm129	hypothetical protein LOC229599	37.95	44.28	56.93	60.09	19.77	23.72	0.79	1.58	6-Clock_n3R15	0	burg	1	23.2093023256	17.6973318248	8.6504739401	40.4566666667	0.7291507228	0.6689619945	0.3756501836	0.0028007514	0.0021415166	0.0167880847
7	chr5	149806711	149807071	149806845	46	promoter-TSS (uc009aoz.1)	Intergenic	-100	uc009aoz.1	AK036974	Mus musculus 13 days embryo forelimb cDNA, RIKEN full-length enriched library, clone:5930430L01 product:unclassifiable, full insert sequence.	30.05	36.37	52.19	41.12	18.19	24.51	0	1.58	7-Clock_n3R15	0	burg	1	22.8114285714	13.4908599979	8.331451343	33.7383333333	0.7781697233	0.7288741062	0.3296995483	0.0011404958	0.0013616653	0.0106745626
8	chr11	98644521	98645140	98644800	40	Intergenic	Intergenic	-8274	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	20.56	47.44	48.23	37.16	10.28	15.81	0.79	3.95	8-Clock_n3R15	1	mle	1	23.0751445087	19.3405914273	7.6062446325	29.9133333333	0.8675998017	0.8381775355	0.5046061966	0.0001118147	0.0004867865	0.0038160868
9	chr7	56607151	56607670	56607455	37	intron (uc009hbm.2, intron 1 of 37)	intron (NM_175272, intron 1 of 37)	105851	uc009hbm.2	Nav2	neuron navigator 2 isoform 1	27.67	42.7	58.51	20.56	4.74	15.81	0	3.95	9-Clock_n3R15	0	burg	1	23.2093023256	21.2773033751	6.4236892908	28.3316666667	0.765369549	0.7132294487	0.6266733421	0.0014680123	0.0015496607	0.0121483228
10	chr15	101934561	101935090	101934725	40	intron (uc007xuo.1, intron 1 of 28)	intron (NM_153533, intron 1 of 28)	1406	uc007xuo.1	Tenc1	tensin-like C1 domain-containing phosphatase	30.84	34	45.07	30.05	14.23	12.65	0.79	3.16	10-Clock_n3R15	1	default	1	24	13.4042554136	6.862427377	27.8066666667	0.8055345115	0.7623199585	0.4059857629	0.0006306544	0.0010284468	0.0080623479
