chr	start	end	ID	strand*
chr1	4758576	4759076	intergenic_si_3	-
chr1	4759105	4759605	intergenic_si_4	-
chr1	4774247	4774747	intragenic_bi_2	+
chr1	4791600	4792100	intergenic_si_6	-
chr1	4800464	4800964	intragenic_si_3	-
chr1	8407062	8407562	intragenic_bi_8	+
chr1	8836754	8837254	intragenic_si_8	+
chr1	8862832	8863332	intragenic_bi_9	+
chr1	8863195	8863695	intragenic_si_9	+
chr1	13416328	13416828	intergenic_si_39	+
chr1	13551534	13552034	intergenic_bi_17	+
chr1	13564814	13565314	intragenic_si_11	+
chr1	13636509	13637009	intragenic_bi_18	+
chr1	13646154	13646654	intragenic_si_14	+
chr1	13648050	13648550	intragenic_bi_19	+
chr1	13648642	13649142	intragenic_si_16	+
chr1	13668543	13669043	intragenic_si_19	-
chr1	13685814	13686314	intragenic_si_20	-
chr1	21218259	21218759	intragenic_si_27	-
chr1	21218719	21219219	intragenic_bi_28	-
chr1	21218907	21219407	intragenic_bi_29	-
chr1	21221502	21222002	intragenic_si_29	-
chr1	21221918	21222418	intragenic_bi_30	-
chr1	21222180	21222680	intergenic_bi_31	+
chr1	21222621	21223121	intergenic_bi_32	+
chr1	21231774	21232274	intragenic_si_31	-
chr1	21233362	21233862	intragenic_si_32	-
chr1	21234100	21234600	intragenic_si_33	-
chr1	21236217	21236717	intragenic_si_34	-
chr1	21257939	21258439	intergenic_si_89	+
chr1	21289910	21290410	intergenic_si_93	-
chr1	21294276	21294776	intergenic_bi_34	+
chr1	21294451	21294951	intergenic_bi_35	+
chr1	21294695	21295195	intergenic_si_95	+
chr1	21295546	21296046	intergenic_bi_36	+
chr1	21295932	21296432	intergenic_si_96	+
chr1	21305785	21306285	intergenic_bi_37	+
chr1	21309826	21310326	intergenic_si_98	-
chr1	21310283	21310783	intergenic_si_99	-
chr1	21311700	21312200	intergenic_bi_38	+
chr1	21313569	21314069	intergenic_si_101	-
chr1	21314069	21314569	intergenic_bi_39	+
chr1	21315944	21316444	intergenic_si_102	-
chr1	21316720	21317220	intergenic_si_103	-
chr1	21318406	21318906	intergenic_bi_40	+
chr1	23170256	23170756	intergenic_si_104	+
chr1	23191602	23192102	intergenic_si_105	-
chr1	23194144	23194644	intergenic_si_106	+
chr1	23194584	23195084	intergenic_si_107	-
chr1	23262769	23263269	intergenic_bi_41	+
chr1	23263569	23264069	intergenic_bi_42	+
chr1	23263727	23264227	intergenic_bi_43	+
chr1	23266281	23266781	intergenic_si_109	+
