ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Per2_CT0/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_CT4/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_CT8/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_CT12/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_CT16/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_CT20/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per2_KO/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per_Input/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
1	chr11	98636471	98637170	98636755	98	promoter-TSS (uc007lhh.1)	promoter-TSS (NM_145434)	-264	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	86.66	34.26	22.17	77.59	210.6	204.56	16.12	25.19	1-Per2_n3R16	1	default	1	24	90.1721197208	18.5201400879	105.973333333	0.8356115096	0.7990807339	0.7104511495	0.0002960884	2.9775126187E-005	0.0053769413
2	chr2	167828921	167829580	167829145	91	intron (uc008oal.1, intron 2 of 21)	intron (NM_001080708, intron 2 of 21)	-6779	uc008oan.1	AK027991	Mus musculus 18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110062I07 product:unclassifiable, full insert sequence.	57.44	22.17	22.17	93.71	119.91	137.04	8.06	11.08	2-Per2_n3R16	1	default	1	24	52.2822248865	17.714728345	75.4066666667	0.8142451303	0.7729662704	0.5956657671	0.0005131342	2.9775126187E-005	0.0053769413
3	chr11	68908521	68908990	68908645	121	Intergenic	CpG	-4905	uc007jph.2	Per1	period circadian protein homolog 1	34.26	10.08	8.06	82.63	185.41	127.97	7.05	10.08	3-Per2_n3R16	0	mle	1	23.3450292398	75.6313651763	17.188957315	74.735	0.779000627	0.7298896552	0.8707564593	0.0011213978	3.17227937076E-005	0.0057286609
4	chr4	147829681	147830230	147829935	81	intron (uc008vur.2, intron 5 of 57)	MIR|SINE|MIR	7264	uc008vur.2	Mtor	serine/threonine-protein kinase mTOR	42.32	15.12	17.13	82.63	107.82	114.87	8.06	15.12	4-Per2_n3R16	1	burg	1	24.0481927711	47.0049538018	17.3694484426	63.315	0.8134056028	0.7719401813	0.6418255458	0.0005236531	2.9775126187E-005	0.0053769413
5	chr11	118151361	118151790	118151515	107	promoter-TSS (uc011yim.1)	promoter-TSS (NM_001033528)	-17	uc011yim.1	Usp36	ubiquitin specific peptidase 36	40.31	17.13	15.12	74.57	135.03	90.69	1.01	5.04	5-Per2_n3R16	1	burg	1	22.9425287356	51.2586886614	17.1187221535	62.1416666667	0.7957838151	0.7504024406	0.6889007365	0.0007859695	0.000030026	0.0054222525
6	chr12	113334391	113334941	113334685	66	Intergenic	L1M5|LINE|L1	-10228	uc007pek.1	Aspg	60 kDa lysophospholipase	31.24	17.13	23.18	78.6	110.84	107.82	11.08	24.18	6-Per2_n3R16	1	mle	1	24.0481927711	44.4565134126	16.9246741775	61.4683333333	0.8012887699	0.7571307187	0.6379110128	0.0006950257	2.98040529402E-005	0.0053821651
7	chr2	118336141	118336601	118336385	84	Intergenic	Intergenic	-30939	uc008lsa.1	Srp14	signal recognition particle 14 kDa protein	37.28	11.08	11.08	67.51	133.01	108.83	5.04	4.03	7-Per2_n3R16	1	burg	1	24.0481927711	54.5943856314	17.3861647541	61.465	0.8192766615	0.7791159196	0.7590716254	0.0004534862	2.9775126187E-005	0.0053769413
8	chr4	124370741	124371310	124371035	108	promoter-TSS (uc008uqu.1)	promoter-TSS (NM_026031)	-227	uc008uqu.1	Utp11l	probable U3 small nucleolar RNA-associated	27.21	9.07	13.1	71.54	141.07	91.7	4.03	18.14	8-Per2_n3R16	0	mle	1	23.6213017751	55.1761343459	16.7747398636	58.9483333333	0.7825918604	0.7342789405	0.8068292626	0.0010416962	3.13057855833E-005	0.0056533555
9	chr11	68908161	68908531	68908375	84	Intergenic	Intergenic	-5314	uc007jph.2	Per1	period circadian protein homolog 1	24.18	8.06	9.07	50.38	129.99	132.01	8.06	13.1	9-Per2_n3R16	0	burg	1	24.7950310559	58.8802746649	17.7713660906	58.9483333333	0.7794884116	0.7304858364	0.8961709763	0.0011103027	3.17157845985E-005	0.0057273951
10	chr10	62486691	62487290	62486915	76	promoter-TSS (uc007fjq.2)	promoter-TSS (NM_001079824)	-270	uc007fjr.1	Pbld2	phenazine biosynthesis-like domain-containing	35.27	14.11	22.17	61.47	109.84	89.68	6.05	4.03	10-Per2_n3R16	0	mle	1	23.7619047619	41.1664303295	17.1670418698	55.4233333333	0.8200657356	0.7800803435	0.6332184868	0.000444644	2.9775126187E-005	0.0053769413
