chr	start	end	ID	ADJ.P-value	PER	AMP	ZT1	ZT4	ZT7	ZT10	ZT13	ZT16	ZT19	ZT22	max	min	fold change	ADJ.phase
chr1	23262770	23263270	intergenic_bi_41	0.002024057	24	17.27461866	84.6	81.39	50.1	54.35	44.7	61.23	74.53	67.05	84.6	44.7	1.89261745	1
chr1	34489963	34490463	intergenic_bi_59	0.002024057	24	2.948635278	27.03	21.91	18.76	19.47	18.67	14.45	15.81	20.49	27.03	14.45	1.870588235	1
chr1	36121697	36122197	intergenic_si_175	0.000244031	24	0.912167748	6.01	4.3	3.39	2.76	1.8	2.1	2.26	2.62	6.01	1.8	3.338888889	1
chr1	39636038	39636538	intergenic_si_202	0.000244031	24	4.511341264	12.51	10.57	3.99	2.47	3.41	3.94	9.79	8.69	12.51	2.47	5.064777328	1
chr1	51565916	51566416	intragenic_bi_89	0.002024057	24	1.760695885	8.51	8.22	7.19	5.38	5.03	4.99	7.78	7.05	8.51	4.99	1.705410822	1
chr1	52170433	52170933	intergenic_si_276	0.000244031	24	5.416437944	57.57	50.48	27.15	43.45	27.11	44.67	46.68	48.53	57.57	27.11	2.123570638	1
chr1	55085621	55086121	intergenic_bi_117	0.000244031	24	4.030508653	25.03	18	19.96	15.26	12.39	8.15	12.3	14.92	25.03	8.15	3.071165644	1
chr1	58171776	58172276	intragenic_si_122	0.011607466	24	1.979898987	10.51	10.17	4.79	4.5	2.51	9.46	9.03	8.85	10.51	2.51	4.187250996	1
chr1	59554993	59555493	intergenic_bi_139	0.002024057	24	1.93747258	14.52	8.61	7.59	2.91	1.44	6.04	8.78	7.21	14.52	1.44	10.08333333	1
chr1	60401472	60401972	intragenic_si_136	0.011607466	24	0.721248917	6.01	2.35	3.19	1.89	2.51	1.58	1.51	1.64	6.01	1.51	3.98013245	1
chr1	60621974	60622474	intragenic_bi_134	0.011607466	24	6.151828996	19.02	12.52	15.97	4.5	9.87	8.67	18.57	18.03	19.02	4.5	4.226666667	1
chr1	65165005	65165505	intragenic_bi_150	0.000244031	24	0.883883476	8.01	3.52	2.99	2.18	2.15	2.37	3.51	2.79	8.01	2.15	3.725581395	1
chr1	69152510	69153010	intragenic_bi_163	0.011607466	24	20.77479723	77.09	72.79	42.52	35.46	38.24	53.08	68.26	50	77.09	35.46	2.173998872	1
chr1	69733790	69734290	intergenic_bi_186	0.011607466	24	1.265721138	8.01	6.26	3.79	6.1	3.59	5.26	4.02	6.89	8.01	3.59	2.231197772	1
chr1	71958940	71959440	intergenic_bi_193	0.000244031	24	2.32638131	13.01	7.44	3.99	4.21	3.05	2.89	5.02	8.53	13.01	2.89	4.501730104	1
chr1	72059266	72059766	intergenic_si_457	0.002024057	24	4.921463197	10.01	8.22	0.6	3.49	1.26	3.42	6.02	9.02	10.01	0.6	16.68333333	1
chr1	72223848	72224348	intragenic_si_183	0.000244031	24	5.218448045	12.51	3.13	0.4	0	0.9	6.57	8.28	7.05	12.51	0.01	1251	1
chr1	72819219	72819719	intergenic_bi_198	1.77E-05	24	3.415325753	12.01	9.78	6.59	3.05	4.13	5.78	8.03	9.67	12.01	3.05	3.937704918	1
chr1	72819521	72820021	intergenic_bi_199	1.77E-05	24	5.876057352	18.52	12.13	10.98	4.8	7.18	7.62	15.06	16.07	18.52	4.8	3.858333333	1
chr1	72819764	72820264	intergenic_bi_200	0.002024057	24	5.586143571	20.02	12.91	13.57	5.09	6.82	8.41	16.31	15.57	20.02	5.09	3.933202358	1
chr1	74442877	74443377	intragenic_bi_200	0.000244031	24	15.13208512	45.05	40.31	35.33	25.29	6.1	13.93	22.84	23.12	45.05	6.1	7.385245902	1
chr1	74444749	74445249	intragenic_si_207	0.002024057	24	2.269812768	7.51	6.26	3.19	2.47	2.33	5.26	7.03	6.07	7.51	2.33	3.223175966	1
chr1	75009093	75009593	intergenic_bi_218	1.77E-05	24	1.138441918	9.01	7.44	5.59	6.1	3.59	6.31	7.28	7.71	9.01	3.59	2.509749304	1
chr1	82185387	82185887	intergenic_si_515	0.002024057	24	1.209152596	8.51	5.48	5.79	3.34	3.77	5.26	4.52	7.87	8.51	3.34	2.547904192	1
chr1	82280148	82280648	intragenic_si_224	0.000244031	24	7.940809153	41.05	36.39	19.76	27.46	23.52	32.85	34.63	38.69	41.05	19.76	2.07742915	1
chr1	88330727	88331227	intergenic_bi_238	0.000244031	24	7.969093424	47.05	33.65	35.33	32.12	26.03	28.38	39.65	43.94	47.05	26.03	1.807529773	1
chr1	88330860	88331360	intergenic_bi_239	0.000244031	24	8.322646815	45.55	32.87	35.73	31.39	26.03	28.38	40.15	44.43	45.55	26.03	1.749903957	1
chr1	88383908	88384408	intergenic_bi_245	1.77E-05	24	18.36356311	207.74	175.31	133.35	151.42	124.6	156.1	171.39	177.39	207.74	124.6	1.667255217	1
chr1	93342562	93343062	intragenic_bi_276	0.002024057	24	17.11905517	59.57	41.48	41.92	21.22	18.67	14.19	19.82	45.58	59.57	14.19	4.198026779	1
chr1	95029177	95029677	intergenic_bi_288	0.000244031	24	9.680291834	27.03	13.3	8.78	2.33	4.67	7.36	21.33	18.36	27.03	2.33	11.60085837	1
chr1	95589965	95590465	intragenic_bi_295	0.002024057	24	0.947523087	17.52	6.26	6.99	2.91	3.05	6.04	6.27	7.38	17.52	2.91	6.020618557	1
chr1	95590582	95591082	intragenic_si_297	1.77E-05	24	1.654629868	14.02	5.87	4.59	3.49	2.87	3.68	6.02	5.9	14.02	2.87	4.885017422	1
chr1	107804935	107805435	intergenic_bi_307	0.011607466	23	7.698035825	37.54	24.65	17.97	23.4	20.83	25.23	32.62	32.46	37.54	17.97	2.089037284	1
chr1	107805074	107805574	intergenic_bi_308	0.011607466	24	7.240773439	41.55	28.96	19.76	25.58	23.7	26.28	34.38	33.94	41.55	19.76	2.102732794	1
chr1	107868410	107868910	intergenic_bi_311	0.011607466	24	13.36431816	66.58	57.92	54.9	45.48	27.65	36	43.16	31.31	66.58	27.65	2.4079566	1
chr1	107890407	107890907	intragenic_si_305	0.000244031	24	2.927422074	14.52	8.22	5.59	5.67	4.49	5.26	10.29	11.48	14.52	4.49	3.233853007	1
chr1	134969791	134970291	intragenic_si_370	1.77E-05	24	1.477853173	7.51	7.44	4.99	3.49	3.95	4.47	5.52	5.9	7.51	3.49	2.151862464	1
chr1	134969947	134970447	intragenic_bi_388	1.77E-05	24	1.605132393	7.51	7.44	4.99	3.2	3.77	4.47	5.52	5.9	7.51	3.2	2.346875	1
chr1	134999844	135000344	intragenic_bi_389	0.002024057	24	1.48492424	9.01	7.04	6.59	4.36	2.69	8.67	5.52	8.69	9.01	2.69	3.349442379	1
chr1	135960276	135960776	intergenic_bi_384	5.97E-07	24	4.285067094	20.52	16.83	13.77	11.19	8.98	10.77	14.05	17.54	20.52	8.98	2.285077951	1
chr1	135989460	135989960	intergenic_bi_387	0.002024057	24	3.570889245	64.57	43.44	42.92	36.91	42.73	31.01	38.39	42.79	64.57	31.01	2.082231538	1
chr1	153014349	153014849	intergenic_bi_432	0.000244031	24	1.887975106	18.52	15.65	12.98	12.64	10.77	14.98	15.56	15.25	18.52	10.77	1.719591458	1
chr1	158590023	158590523	intragenic_bi_471	0.002024057	24	1.902117241	19.52	12.13	12.58	10.75	8.8	7.88	13.3	13.44	19.52	7.88	2.47715736	1
chr1	159374988	159375488	intergenic_bi_472	0.011607466	24	1.265721138	9.51	7.83	6.19	7.85	5.03	6.57	7.28	8.36	9.51	5.03	1.890656064	1
