zt0chic	zt6chic	zt12chic	zt18chic
chr1_95201551_95204277	39	27	25	19
chr10_7546545_7552868	29	29	28	29
chr10_59077992_59088133	36	42	28	38
chr10_79628324_79630600	3	12	13	21
chr10_80085107_80095464	3	3	2	5
chr11_5343091_5346028	23	23	19	24
chr11_59285300_59288132	12	14	12	10
chr11_59339110_59348603	6	3	4	4
chr11_62411234_62416943	4	6	4	6
chr11_67778541_67781305	4	3	6	4
chr11_70503529_70516807	25	28	27	35
chr11_78797511_78798875	8	6	8	11
chr11_102409548_102418218	1	4	3	2
chr11_120232351_120246697	14	8	7	8
chr12_8313199_8337432	51	52	54	57
chr12_32635090_32637078	7	2	3	3
chr12_77631887_77635364	6	6	11	10
chr12_113343265_113347425	7	8	6	11
chr13_30423911_30429007	6	9	6	3
chr13_93610608_93615240	0	1	0	1
chr14_31828145_31833021	3	0	4	2
chr14_51489625_51492554	12	12	9	6
chr14_55712193_55715471	6	10	9	10
chr14_57429087_57432645	3	2	5	3
chr14_60013415_60014919	15	17	14	15
chr14_70552654_70554251	57	56	60	69
chr15_98745847_98752732	5	6	4	4
chr15_101926421_101933877	3	3	3	3
chr15_101980429_101983658	28	22	33	41
chr15_102552223_102553135	0	1	1	2
chr18_20216128_20219247	45	53	41	46
chr18_38366389_38375018	51	48	52	56
chr18_38755615_38763068	44	45	42	47
chr18_53332481_53339411	15	22	12	22
chr18_68089266_68096999	84	88	81	80
chr19_4709732_4713352	2	2	2	3
chr19_29175077_29176649	6	16	22	13
chr19_54018187_54023358	16	12	18	21
chr2_5626451_5639227	38	54	46	42
chr2_25282467_25285936	30	17	39	39
chr2_32140555_32143059	1	1	0	1
chr2_60039242_60050334	19	18	19	16
chr2_60799554_60808072	15	18	8	9
chr2_64862906_64864868	14	19	16	13
chr2_105742541_105750837	9	8	7	7
chr2_109748148_109760201	44	55	40	47
chr2_132409076_132413667	17	19	15	17
chr2_151313620_151321344	8	9	7	9
chr2_160703279_160710302	49	42	47	46
chr2_166885241_166888964	1	0	5	4
chr2_181314279_181324269	6	7	7	5
chr3_10300162_10302632	44	41	38	46
chr3_40429914_40433634	28	21	22	24
chr3_58328325_58330805	18	17	19	24
chr3_79428684_79435416	4	8	3	4
chr3_96041939_96045084	8	15	11	4
chr3_104614474_104623107	0	1	2	2
chr3_129603191_129606686	14	19	11	9
chr3_131047821_131051115	27	34	30	29
chr4_16089016_16092951	0	7	2	2
chr4_46202990_46212760	11	8	10	10
chr4_57314301_57315683	4	6	7	8
