ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Npas2_CT0/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT4/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT8/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT12/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT16/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT20/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_Input/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
1	chr11	68908481	68908800	68908655	61	Intergenic	Intergenic	-5020	uc007jph.2	Per1	period circadian protein homolog 1	83.62	27.87	70.17	44.21	42.29	26.91	0.96	Npas2-1	0	default	1	24	5.364285827	4.7971622456	49.1783333333	0.0359533964	-0.1782791821	0.4272541358	0.8480884137	0.0573610885	0.8590033225
2	chr5	73865751	73866141	73865865	41	Intergenic	Intergenic	-6348	uc008xsy.2	Dcun1d4	DCN1-like protein 4 isoform A	29.8	26.91	49.02	28.84	12.5	3.84	2.88	Npas2-2	0	mle	1	24.3414634146	16.1291932441	7.305195808	25.1516666667	0.7114603527	0.647340431	0.5674634944	0.0037232717	0.0010653484	0.0159539829
3	chr15	25621901	25622261	25622070	31	intron (uc007vjc.1, intron 2 of 40)	L1M4|LINE|L1	69776	uc007vjc.1	Myo10	myosin X	9.61	16.34	44.21	18.26	9.61	0.96	4.81	Npas2-3	0	mle	1	24.0481927711	16.4431496777	8.3584138589	16.4983333333	0.7502054705	0.6946955751	0.8234498696	0.0019459118	0.0007343395	0.0109970026
4	chr17	74393141	74393470	74393275	31	intron (uc008dnt.1, intron 1 of 4)	intron (NM_053188, intron 1 of 4)	3951	uc008dnt.1	Srd5a2	3-oxo-5-alpha-steroid 4-dehydrogenase 2	13.46	4.81	38.45	13.46	5.77	1.92	4.81	Npas2-4	0	burg	1	22.5536723164	11.3508898523	9.1849458576	12.9783333333	0.4620380819	0.342490989	0.9385525279	0.0614301959	0.0065350998	0.0978655145
5	chr11	98636601	98637151	98636865	30	promoter-TSS (uc007lhh.1)	promoter-TSS (NM_145434)	-320	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	38.45	43.25	65.36	41.33	16.34	10.57	5.77	Npas2-5	1	default	1	24	21.8857660023	7.3015665625	35.8833333333	0.8101660535	0.7679807321	0.5065177065	0.0005658254	0.0003622868	0.0054253775
6	chr6	49991941	49992470	49992240	29	Intergenic	MamRep605|Unknown|Unknown	-68035	uc009bwv.2	Mpp6	MAGUK p55 subfamily member 6 isoform a	24.99	13.46	40.37	21.15	4.81	5.77	5.77	Npas2-6	0	burg	1	23.9041916168	11.5040282852	7.4253214202	18.425	0.4773429992	0.361196999	0.6655591605	0.0539480155	0.0059686916	0.0893833436
7	chr7	71062541	71063050	71062795	29	intron (uc009hfn.2, intron 1 of 1)	intron (NM_021366, intron 1 of 1)	21006	uc009hfn.2	Klf13	Krueppel-like factor 13	26.91	24.03	39.41	21.15	11.53	1.92	4.81	Npas2-7	0	burg	1	24.490797546	12.7845295111	6.7742448767	20.825	0.6777293832	0.6061136906	0.5670209594	0.006123408	0.0014234934	0.021317335
8	chr7	104572351	104572671	104572485	29	Intergenic	(TG)n|Simple_repeat|Simple_repeat	-6491	uc009ije.1	Thrsp	thyroid hormone-inducible hepatic protein	16.34	18.26	34.6	17.3	10.57	1.92	4.81	Npas2-8	0	mle	1	23.9041916168	11.551087014	7.8590237095	16.4983333333	0.749809078	0.6942110953	0.5954790875	0.0019598461	0.0007356838	0.0110171347
9	chr2	58607171	58607700	58607430	28	promoter-TSS (uc008jsw.1)	promoter-TSS (NM_029692)	-161	uc008jsw.1	Upp2	uridine phosphorylase 2	14.42	20.19	45.18	12.5	6.73	2.88	6.73	Npas2-9	0	burg	1	23.2093023256	15.4480542722	7.676601841	16.9833333333	0.6669079516	0.5928874963	0.8102114096	0.0071045928	0.0015218015	0.0227895348
10	chr3	101609371	101609701	101609495	28	Intergenic	Intergenic	30610	uc008qrk.2	BC037703	hypothetical protein LOC242125	20.19	31.72	31.72	20.19	8.65	1.92	2.88	Npas2-10	1	default	1	24	13.3814054017	6.6670830673	19.065	0.8640547298	0.8338446697	0.576676425	0.0001259327	0.0001738366	0.0026032674
